code,name,verdict,match_basis,db_id,db_name,matched_name
4033,"Đu đủ xanh, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4033_raw,Đu đủ xanh,Đu đủ xanh
4034,"Quả gấc, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4034_raw,Gấc,Gấc
4035,"Giá đậu tương, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4035_raw,Giá đậu tương,Giá đậu tương
4036,"Giá đậu xanh, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4036_raw,Giá đậu xanh,Giá đậu xanh
4036002,"Giá đậu xanh, luộc",keep-usda-only,name,usda_11718_cooked,"Đậu xanh, hạt chín, nảy mầm, nấu chín, luộc, để ráo nước, thêm muối.",giá đậu xanh luộc
4037,"Hành củ, tươi",duplicate-vietnamese,name,fao_vn_2007_4037_raw,Hành củ tươi,Hành củ tươi
4038,"Hành lá (hành hoa), tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4038_raw,Hành lá (hành hoa),Hành lá (hành hoa)
4039,"Hành tây, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4039_raw,Hành tây,Hành tây
4040,"Hạt sen, tươi",duplicate-vietnamese,name,fao_vn_2007_4040_raw,Hạt sen tươi,Hạt sen tươi
4041,"Hạt sen, khô",duplicate-vietnamese,name,fao_vn_2007_4041_raw,Hạt sen khô,Hạt sen khô
4042,"Hẹ lá, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4042_raw,Hẹ lá,Hẹ lá
4043,"Hoa chuối, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4043_raw,Hoa chuối,Hoa chuối
4044,"Hoa lý, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4044_raw,Hoa lý,Hoa lý
4045,"Quả khế, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4045_raw,Khế,Khế
4046,"Lá lốt, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4046_raw,Lá lốt,Lá lốt
4047,"Lá me, tươi ",duplicate-vietnamese,code-lineage,fao_vn_2007_4047_raw,Lá me,Lá me
4048,"Lá mơ lông, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4048_raw,Lá mơ lông,Lá mơ lông
4049,"Lá sắn, tươi",duplicate-vietnamese,name,fao_vn_2007_4049_raw,Lá sắn tươi,Lá sắn tươi
4050,"Măng chua, măng tre",duplicate-vietnamese,code-lineage,fao_vn_2007_4050_raw,Măng chua,Măng chua
4051,"Măng tre, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_4051_raw,Măng khô,Măng khô
4052,"Măng tây, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4052_raw,Măng tây,Măng tây
4053,"Măng tre, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4053_raw,Măng tre,Măng tre
4054,"Mướp, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4054_raw,Mướp,Mướp
4054002,"Mướp, luộc",keep-usda-only,name,usda_11785_cooked,"Bí, bầu khô (bí dùng làm khăn lau bát đĩa), nấu chín, luộc, để ráo nước, thêm muối.",mướp luộc
4055,"Mướp đắng, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4055_raw,Mướp đắng,Mướp đắng
